input_size,AFLB,feature_h,feature_w,h_over_128,w_over_128,alpha,beta,h_half_width,w_half_width,mask_area_pct,mask_active
128,AFLB1,16,16,0,0,0.49673545360565186,0.5042434930801392,0,0,0.0,False
128,AFLB2,32,32,0,0,0.49506938457489014,0.49789926409721375,0,0,0.0,False
128,AFLB3,64,64,0,0,0.4978700876235962,0.4986005425453186,0,0,0.0,False
192,AFLB1,24,24,0,0,0.49646344780921936,0.5044687390327454,0,0,0.0,False
192,AFLB2,48,48,0,0,0.494983971118927,0.497887521982193,0,0,0.0,False
192,AFLB3,96,96,0,0,0.4978561997413635,0.4985702633857727,0,0,0.0,False
256,AFLB1,32,32,0,0,0.4963708519935608,0.5045244097709656,0,0,0.0,False
256,AFLB2,64,64,0,0,0.4949413239955902,0.49787816405296326,0,0,0.0,False
256,AFLB3,128,128,1,1,0.4978489875793457,0.49855518341064453,0,0,0.0,False
384,AFLB1,48,48,0,0,0.4962395429611206,0.5046164393424988,0,0,0.0,False
384,AFLB2,96,96,0,0,0.49490851163864136,0.49787262082099915,0,0,0.0,False
384,AFLB3,192,192,1,1,0.4978412985801697,0.4985407888889313,0,0,0.0,False
512,AFLB1,64,64,0,0,0.49616605043411255,0.504667341709137,0,0,0.0,False
512,AFLB2,128,128,1,1,0.4948830306529999,0.4978702664375305,0,0,0.0,False
512,AFLB3,256,256,2,2,0.4978373944759369,0.4985337555408478,0,0,0.0,False
768,AFLB1,96,96,0,0,0.49610409140586853,0.5047057271003723,0,0,0.0,False
768,AFLB2,192,192,1,1,0.4948637783527374,0.4978715479373932,0,0,0.0,False
768,AFLB3,384,384,3,3,0.4978334903717041,0.49852675199508667,1,1,0.0027126736313221045,True
1024,AFLB1,128,128,1,1,0.4960741400718689,0.504730224609375,0,0,0.0,False
1024,AFLB2,256,256,2,2,0.49485284090042114,0.49787136912345886,0,0,0.0,False
1024,AFLB3,512,512,4,4,0.4978314936161041,0.4985233247280121,1,1,0.00152587890625,True
