Image_ID,Degradation,AFLB,alpha,beta,mask_area_pct
R001,Rain,AFLB1,0.4962271153926849,0.5046544671058655,0
R001,Rain,AFLB2,0.4949029386043549,0.4978736937046051,0
R001,Rain,AFLB3,0.4978349208831787,0.4985400140285492,0
R002,Rain,AFLB1,0.493757039308548,0.5086672902107239,0
R002,Rain,AFLB2,0.4911094009876251,0.4934137463569641,0
R002,Rain,AFLB3,0.4986181557178497,0.497257798910141,0
R003,Rain,AFLB1,0.4949488043785095,0.5063123106956482,0
R003,Rain,AFLB2,0.4930354654788971,0.4968388974666595,0
R003,Rain,AFLB3,0.4971986413002014,0.4979756474494934,0
R004,Rain,AFLB1,0.4949540495872498,0.5063067078590393,0
R004,Rain,AFLB2,0.4930427670478821,0.496844083070755,0
R004,Rain,AFLB3,0.4972013533115387,0.4979779124259949,0
R005,Rain,AFLB1,0.493812084197998,0.508208155632019,0
R005,Rain,AFLB2,0.4912664294242859,0.494852215051651,0
R005,Rain,AFLB3,0.4975533485412598,0.4973921477794647,0
R006,Rain,AFLB1,0.4930612146854401,0.509443998336792,0
R006,Rain,AFLB2,0.4901077747344971,0.4936152398586273,0
R006,Rain,AFLB3,0.497709333896637,0.4970215260982513,0
R007,Rain,AFLB1,0.4956017732620239,0.5056605935096741,0
R007,Rain,AFLB2,0.4941129684448242,0.4969677031040192,0
R007,Rain,AFLB3,0.497908741235733,0.4982214868068695,0
R008,Rain,AFLB1,0.4954595565795898,0.5060427784919739,0
R008,Rain,AFLB2,0.4938704073429108,0.49579718708992,0
R008,Rain,AFLB3,0.4986930787563324,0.4980601668357849,0
R009,Rain,AFLB1,0.4943894147872925,0.5080401301383972,0
R009,Rain,AFLB2,0.4922450184822083,0.49362912774086,0
R009,Rain,AFLB3,0.4993039667606354,0.4974834620952606,0
R010,Rain,AFLB1,0.49456587433815,0.506885290145874,0
R010,Rain,AFLB2,0.4924362301826477,0.4963954091072083,0
R010,Rain,AFLB3,0.4972084164619446,0.4977930784225464,0
R011,Rain,AFLB1,0.4950259625911713,0.5070205330848694,0
R011,Rain,AFLB2,0.4936518371105194,0.4944559931755066,0
