Image_ID,Degradation,AFLB,pt_path
R001,Rain,AFLB1,intermediates/rain/R001/aflb1.pt
R001,Rain,AFLB2,intermediates/rain/R001/aflb2.pt
R001,Rain,AFLB3,intermediates/rain/R001/aflb3.pt
R002,Rain,AFLB1,intermediates/rain/R002/aflb1.pt
R002,Rain,AFLB2,intermediates/rain/R002/aflb2.pt
R002,Rain,AFLB3,intermediates/rain/R002/aflb3.pt
R003,Rain,AFLB1,intermediates/rain/R003/aflb1.pt
R003,Rain,AFLB2,intermediates/rain/R003/aflb2.pt
R003,Rain,AFLB3,intermediates/rain/R003/aflb3.pt
R004,Rain,AFLB1,intermediates/rain/R004/aflb1.pt
R004,Rain,AFLB2,intermediates/rain/R004/aflb2.pt
R004,Rain,AFLB3,intermediates/rain/R004/aflb3.pt
R005,Rain,AFLB1,intermediates/rain/R005/aflb1.pt
R005,Rain,AFLB2,intermediates/rain/R005/aflb2.pt
R005,Rain,AFLB3,intermediates/rain/R005/aflb3.pt
R006,Rain,AFLB1,intermediates/rain/R006/aflb1.pt
R006,Rain,AFLB2,intermediates/rain/R006/aflb2.pt
R006,Rain,AFLB3,intermediates/rain/R006/aflb3.pt
R007,Rain,AFLB1,intermediates/rain/R007/aflb1.pt
R007,Rain,AFLB2,intermediates/rain/R007/aflb2.pt
R007,Rain,AFLB3,intermediates/rain/R007/aflb3.pt
R008,Rain,AFLB1,intermediates/rain/R008/aflb1.pt
R008,Rain,AFLB2,intermediates/rain/R008/aflb2.pt
R008,Rain,AFLB3,intermediates/rain/R008/aflb3.pt
R009,Rain,AFLB1,intermediates/rain/R009/aflb1.pt
R009,Rain,AFLB2,intermediates/rain/R009/aflb2.pt
R009,Rain,AFLB3,intermediates/rain/R009/aflb3.pt
R010,Rain,AFLB1,intermediates/rain/R010/aflb1.pt
R010,Rain,AFLB2,intermediates/rain/R010/aflb2.pt
R010,Rain,AFLB3,intermediates/rain/R010/aflb3.pt
R011,Rain,AFLB1,intermediates/rain/R011/aflb1.pt
R011,Rain,AFLB2,intermediates/rain/R011/aflb2.pt
R011,Rain,AFLB3,intermediates/rain/R011/aflb3.pt
R012,Rain,AFLB1,intermediates/rain/R012/aflb1.pt
R012,Rain,AFLB2,intermediates/rain/R012/aflb2.pt
R012,Rain,AFLB3,intermediates/rain/R012/aflb3.pt
R013,Rain,AFLB1,intermediates/rain/R013/aflb1.pt
R013,Rain,AFLB2,intermediates/rain/R013/aflb2.pt
R013,Rain,AFLB3,intermediates/rain/R013/aflb3.pt
R014,Rain,AFLB1,intermediates/rain/R014/aflb1.pt
R014,Rain,AFLB2,intermediates/rain/R014/aflb2.pt
R014,Rain,AFLB3,intermediates/rain/R014/aflb3.pt
R015,Rain,AFLB1,intermediates/rain/R015/aflb1.pt
R015,Rain,AFLB2,intermediates/rain/R015/aflb2.pt
R015,Rain,AFLB3,intermediates/rain/R015/aflb3.pt
R016,Rain,AFLB1,intermediates/rain/R016/aflb1.pt
R016,Rain,AFLB2,intermediates/rain/R016/aflb2.pt
R016,Rain,AFLB3,intermediates/rain/R016/aflb3.pt
R017,Rain,AFLB1,intermediates/rain/R017/aflb1.pt
R017,Rain,AFLB2,intermediates/rain/R017/aflb2.pt
R017,Rain,AFLB3,intermediates/rain/R017/aflb3.pt
R018,Rain,AFLB1,intermediates/rain/R018/aflb1.pt
R018,Rain,AFLB2,intermediates/rain/R018/aflb2.pt
R018,Rain,AFLB3,intermediates/rain/R018/aflb3.pt
R019,Rain,AFLB1,intermediates/rain/R019/aflb1.pt
R019,Rain,AFLB2,intermediates/rain/R019/aflb2.pt
R019,Rain,AFLB3,intermediates/rain/R019/aflb3.pt
R020,Rain,AFLB1,intermediates/rain/R020/aflb1.pt
R020,Rain,AFLB2,intermediates/rain/R020/aflb2.pt
R020,Rain,AFLB3,intermediates/rain/R020/aflb3.pt
R021,Rain,AFLB1,intermediates/rain/R021/aflb1.pt
R021,Rain,AFLB2,intermediates/rain/R021/aflb2.pt
R021,Rain,AFLB3,intermediates/rain/R021/aflb3.pt
R022,Rain,AFLB1,intermediates/rain/R022/aflb1.pt
R022,Rain,AFLB2,intermediates/rain/R022/aflb2.pt
R022,Rain,AFLB3,intermediates/rain/R022/aflb3.pt
R023,Rain,AFLB1,intermediates/rain/R023/aflb1.pt
R023,Rain,AFLB2,intermediates/rain/R023/aflb2.pt
R023,Rain,AFLB3,intermediates/rain/R023/aflb3.pt
R024,Rain,AFLB1,intermediates/rain/R024/aflb1.pt
R024,Rain,AFLB2,intermediates/rain/R024/aflb2.pt
R024,Rain,AFLB3,intermediates/rain/R024/aflb3.pt
R025,Rain,AFLB1,intermediates/rain/R025/aflb1.pt
R025,Rain,AFLB2,intermediates/rain/R025/aflb2.pt
R025,Rain,AFLB3,intermediates/rain/R025/aflb3.pt
R026,Rain,AFLB1,intermediates/rain/R026/aflb1.pt
R026,Rain,AFLB2,intermediates/rain/R026/aflb2.pt
R026,Rain,AFLB3,intermediates/rain/R026/aflb3.pt
R027,Rain,AFLB1,intermediates/rain/R027/aflb1.pt
