Image_ID,Degradation,Dataset,input_path,gt_path,noise_sigma
R001,Rain,Rain100L,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/rainy/rain-001.png,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/norain-001.png,
R002,Rain,Rain100L,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/rainy/rain-002.png,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/norain-002.png,
R003,Rain,Rain100L,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/rainy/rain-003.png,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/norain-003.png,
R004,Rain,Rain100L,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/rainy/rain-004.png,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/norain-004.png,
R005,Rain,Rain100L,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/rainy/rain-005.png,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/norain-005.png,
R006,Rain,Rain100L,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/rainy/rain-006.png,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/norain-006.png,
R007,Rain,Rain100L,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/rainy/rain-007.png,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/norain-007.png,
R008,Rain,Rain100L,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/rainy/rain-008.png,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/norain-008.png,
R009,Rain,Rain100L,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/rainy/rain-009.png,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/norain-009.png,
R010,Rain,Rain100L,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/rainy/rain-010.png,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/norain-010.png,
R011,Rain,Rain100L,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/rainy/rain-011.png,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/norain-011.png,
R012,Rain,Rain100L,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/rainy/rain-012.png,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/norain-012.png,
R013,Rain,Rain100L,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/rainy/rain-013.png,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/norain-013.png,
R014,Rain,Rain100L,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/rainy/rain-014.png,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/norain-014.png,
R015,Rain,Rain100L,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/rainy/rain-015.png,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/norain-015.png,
R016,Rain,Rain100L,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/rainy/rain-016.png,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/norain-016.png,
R017,Rain,Rain100L,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/rainy/rain-017.png,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/norain-017.png,
R018,Rain,Rain100L,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/rainy/rain-018.png,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/norain-018.png,
R019,Rain,Rain100L,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/rainy/rain-019.png,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/norain-019.png,
R020,Rain,Rain100L,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/rainy/rain-020.png,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/norain-020.png,
R021,Rain,Rain100L,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/rainy/rain-021.png,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/norain-021.png,
R022,Rain,Rain100L,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/rainy/rain-022.png,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/norain-022.png,
R023,Rain,Rain100L,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/rainy/rain-023.png,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/norain-023.png,
R024,Rain,Rain100L,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/rainy/rain-024.png,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/norain-024.png,
R025,Rain,Rain100L,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/rainy/rain-025.png,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/norain-025.png,
R026,Rain,Rain100L,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/rainy/rain-026.png,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/norain-026.png,
R027,Rain,Rain100L,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/rainy/rain-027.png,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/norain-027.png,
R028,Rain,Rain100L,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/rainy/rain-028.png,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/norain-028.png,
R029,Rain,Rain100L,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/rainy/rain-029.png,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/norain-029.png,
R030,Rain,Rain100L,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/rainy/rain-030.png,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/norain-030.png,
R031,Rain,Rain100L,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/rainy/rain-031.png,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/norain-031.png,
R032,Rain,Rain100L,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/rainy/rain-032.png,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/norain-032.png,
R033,Rain,Rain100L,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/rainy/rain-033.png,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/norain-033.png,
R034,Rain,Rain100L,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/rainy/rain-034.png,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/norain-034.png,
R035,Rain,Rain100L,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/rainy/rain-035.png,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/norain-035.png,
R036,Rain,Rain100L,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/rainy/rain-036.png,/home/minura/FYP/Workspace/Himeth/data/rain100L/rain100L_test/Rain100L/norain-036.png,
